Amendment_type,Cold (%),Warm (%),Raw Diff (pp),Cohen's g,g Effect Size,Odds Ratio,p-value,Significant (p < 0.05),p-value (FDR corrected),Significant (FDR),Model,Dataset,Test_Type
relation:hierarchical_down,58.59,47.68,-10.91,6.235,Large,2.12,0,Yes,0,Yes,qwen,medqa,Sycophancy
relation:hierarchical_up,60.28,45.34,-14.94,8.369,Large,2.77,0,Yes,0,Yes,qwen,medqa,Sycophancy
stake:high,61.37,45.17,-16.2,9.043,Large,3.06,0,Yes,0,Yes,qwen,medqa,Sycophancy
stake:low,60.48,44.56,-15.93,8.945,Large,3.05,0,Yes,0,Yes,qwen,medqa,Sycophancy
unmodified,60.16,45.83,-14.33,8.209,Large,2.83,0,Yes,0,Yes,qwen,medqa,Sycophancy
emotion:anger,74.27,61.66,-12.61,8.954,Large,4.5,0,Yes,0,Yes,qwen,trivia,Sycophancy
emotion:happy,72.77,58.46,-14.31,10.629,Large,8.53,0,Yes,0,Yes,qwen,trivia,Sycophancy
emotion:sad,74.3,50.8,-23.5,13.969,Large,10.79,0,Yes,0,Yes,qwen,trivia,Sycophancy
relation:close,73.7,60.8,-12.9,9.145,Large,4.69,0,Yes,0,Yes,qwen,trivia,Sycophancy
relation:hierarchical_down,75.91,65.52,-10.38,7.831,Large,3.94,0,Yes,0,Yes,qwen,trivia,Sycophancy
relation:hierarchical_up,74,63.7,-10.3,7.453,Large,3.34,0,Yes,0,Yes,qwen,trivia,Sycophancy
stake:high,77.17,60.35,-16.82,10.763,Large,5.71,0,Yes,0,Yes,qwen,trivia,Sycophancy
stake:low,73.96,61.65,-12.31,8.451,Large,3.88,0,Yes,0,Yes,qwen,trivia,Sycophancy
unmodified,74.72,61.88,-12.84,8.779,Large,4.15,0,Yes,0,Yes,qwen,trivia,Sycophancy
emotion:anger,76.84,48.34,-28.5,14.936,Large,8.45,0,Yes,0,Yes,qwen,truthfulqa,Sycophancy
emotion:happy,77.63,60.83,-16.8,10.416,Large,4.77,0,Yes,0,Yes,qwen,truthfulqa,Sycophancy
emotion:sad,75.53,43,-32.53,16.591,Large,12.54,0,Yes,0,Yes,qwen,truthfulqa,Sycophancy
relation:close,75,56.05,-18.95,10.964,Large,4.55,0,Yes,0,Yes,qwen,truthfulqa,Sycophancy
relation:hierarchical_down,79.53,63.73,-15.81,9.712,Large,4.06,0,Yes,0,Yes,qwen,truthfulqa,Sycophancy
relation:hierarchical_up,76.48,59.57,-16.9,10.102,Large,4.19,0,Yes,0,Yes,qwen,truthfulqa,Sycophancy
stake:high,76.18,53.39,-22.79,12.258,Large,5.19,0,Yes,0,Yes,qwen,truthfulqa,Sycophancy
stake:low,80.71,65.92,-14.8,8.975,Large,3.5,0,Yes,0,Yes,qwen,truthfulqa,Sycophancy
unmodified,80.91,65.08,-15.84,9.529,Large,3.79,0,Yes,0,Yes,qwen,truthfulqa,Sycophancy
"emotion:anger
 original",93.98,90.98,-3.01,1.069,Large,1.8,0.424,No,0.7631,No,llama-70b,disinfo,Normal
"emotion:happy
 original",93.98,90.98,-3.01,1.069,Large,1.8,0.424,No,0.7631,No,llama-70b,disinfo,Normal
"emotion:sad
 original",95.49,84.21,-11.28,3.273,Large,6,0.0015,Yes,0.0116,Yes,llama-70b,disinfo,Normal
"relation:close
 original",92.48,90.23,-2.26,0.688,Large,1.38,0.6476,No,0.9714,No,llama-70b,disinfo,Normal
"relation:hierarchical_down
 original",93.23,93.23,0,0,Small,1,1,No,1,No,llama-70b,disinfo,Normal
"relation:hierarchical_up
 original",94.74,93.98,-0.75,0.277,Medium,1.17,1,No,1,No,llama-70b,disinfo,Normal
"stake:high
 original",96.99,86.47,-10.53,3.13,Large,5.67,0.0026,Yes,0.0116,Yes,llama-70b,disinfo,Normal
"stake:low
 original",94.74,95.49,0.75,0.333,Medium,0.8,1,No,1,No,llama-70b,disinfo,Normal
"unmodified
 original_combined",96.24,90.98,-5.26,1.941,Large,3.33,0.0923,No,0.2769,No,llama-70b,disinfo,Normal
"emotion:anger
 original",68.14,52.3,-15.83,6.387,Large,3.14,0,Yes,0,Yes,llama-70b,medqa,Normal
"emotion:happy
 original",72.03,56.34,-15.69,6.327,Large,3.11,0,Yes,0,Yes,llama-70b,medqa,Normal
"emotion:sad
 original",68.25,42.68,-25.57,9.092,Large,5,0,Yes,0,Yes,llama-70b,medqa,Normal
"relation:close
 original",73.21,58.69,-14.52,5.896,Large,2.92,0,Yes,0,Yes,llama-70b,medqa,Normal
"relation:hierarchical_down
 original",73.39,53.23,-20.16,8.165,Large,5,0,Yes,0,Yes,llama-70b,medqa,Normal
"relation:hierarchical_up
 original",72.45,57.35,-15.1,5.963,Large,2.85,0,Yes,0,Yes,llama-70b,medqa,Normal
"stake:high
 original",70.94,52.17,-18.76,7.486,Large,5.32,0,Yes,0,Yes,llama-70b,medqa,Normal
"stake:low
 original",75.46,54.56,-20.89,8.495,Large,5.68,0,Yes,0,Yes,llama-70b,medqa,Normal
"unmodified
 original_combined",72.98,53.83,-19.15,7.487,Large,3.88,0,Yes,0,Yes,llama-70b,medqa,Normal
"emotion:anger
 original",92.4,79.6,-12.8,7.155,Large,9,0,Yes,0,Yes,llama-70b,trivia,Normal
"emotion:happy
 original",90.98,82.36,-8.62,4.9,Large,3.53,0,Yes,0,Yes,llama-70b,trivia,Normal
"emotion:sad
 original",91.2,78.4,-12.8,6.746,Large,5.92,0,Yes,0,Yes,llama-70b,trivia,Normal
"relation:close
 original",93.98,82.73,-11.24,6.791,Large,10.33,0,Yes,0,Yes,llama-70b,trivia,Normal
"relation:hierarchical_down
 original",92.01,81.35,-10.66,6.5,Large,9.67,0,Yes,0,Yes,llama-70b,trivia,Normal
"relation:hierarchical_up
 original",89.98,80.76,-9.22,5.143,Large,3.71,0,Yes,0,Yes,llama-70b,trivia,Normal
"stake:high
 original",90.57,80.53,-10.04,5.584,Large,4.5,0,Yes,0,Yes,llama-70b,trivia,Normal
"stake:low
 original",91.58,81.76,-9.82,5.735,Large,5.08,0,Yes,0,Yes,llama-70b,trivia,Normal
"unmodified
 original_combined",92.47,81.17,-11.3,6.75,Large,11.8,0,Yes,0,Yes,llama-70b,trivia,Normal
"emotion:anger
 original",80.85,66.53,-14.31,6.455,Large,3.84,0,Yes,0,Yes,llama-70b,truthfulqa,Normal
"emotion:happy
 original",77.53,65.99,-11.54,5.098,Large,2.68,0,Yes,0,Yes,llama-70b,truthfulqa,Normal
"emotion:sad
 original",75.96,62.02,-13.94,5.895,Large,3.03,0,Yes,0,Yes,llama-70b,truthfulqa,Normal
"relation:close
 original",76.21,67.34,-8.87,3.92,Large,2.07,0.0001,Yes,0.0001,Yes,llama-70b,truthfulqa,Normal
"relation:hierarchical_down
 original",81.11,69.82,-11.29,5.419,Large,3.29,0,Yes,0,Yes,llama-70b,truthfulqa,Normal
"relation:hierarchical_up
 original",80.74,66.19,-14.55,6.455,Large,3.84,0,Yes,0,Yes,llama-70b,truthfulqa,Normal
"stake:high
 original",75.1,64.4,-10.7,4.492,Large,2.27,0,Yes,0,Yes,llama-70b,truthfulqa,Normal
"stake:low
 original",82.49,69.22,-13.28,5.975,Large,3.36,0,Yes,0,Yes,llama-70b,truthfulqa,Normal
"unmodified
 original_combined",80,68.87,-11.13,5.196,Large,3,0,Yes,0,Yes,llama-70b,truthfulqa,Normal
"emotion:anger
 original",96.8,74.4,-22.4,4.802,Large,10.33,0,Yes,0,Yes,qwen,disinfo,Normal
"emotion:happy
 original",97.6,91.2,-6.4,2.138,Large,3.67,0.0574,No,0.0645,No,qwen,disinfo,Normal
"emotion:sad
 original",99.2,72.8,-26.4,5.745,Large,∞,0,Yes,0,Yes,qwen,disinfo,Normal
"relation:close
 original",98.4,90.4,-8,2.887,Large,11,0.0063,Yes,0.0114,Yes,qwen,disinfo,Normal
"relation:hierarchical_down
 original",96.8,91.2,-5.6,2.646,Large,∞,0.0156,Yes,0.0234,Yes,qwen,disinfo,Normal
"relation:hierarchical_up
 original",96.8,92,-4.8,1.732,Large,3,0.146,No,0.146,No,qwen,disinfo,Normal
"stake:high
 original",96,82.4,-13.6,3.545,Large,6.67,0.0005,Yes,0.0015,Yes,qwen,disinfo,Normal
"stake:low
 original",98.4,90.4,-8,2.887,Large,11,0.0063,Yes,0.0114,Yes,qwen,disinfo,Normal
"unmodified
 original_combined",96,88.8,-7.2,2.324,Large,4,0.0352,Yes,0.0452,Yes,qwen,disinfo,Normal
"emotion:anger
 original",65.93,59.07,-6.85,2.937,Large,1.68,0.0042,Yes,0.0047,Yes,qwen,medqa,Normal
"emotion:happy
 original",68.89,60,-8.89,3.859,Large,2.02,0.0001,Yes,0.0003,Yes,qwen,medqa,Normal
"emotion:sad
 original",66.27,50.6,-15.66,6.285,Large,3.05,0,Yes,0,Yes,qwen,medqa,Normal
"relation:close
 original",68.6,56.2,-12.4,5.48,Large,2.88,0,Yes,0,Yes,qwen,medqa,Normal
"relation:hierarchical_down
 original",63.86,58.03,-5.82,2.704,Large,1.67,0.0087,Yes,0.0087,Yes,qwen,medqa,Normal
"relation:hierarchical_up
 original",70.68,63.05,-7.63,3.528,Large,1.97,0.0005,Yes,0.0008,Yes,qwen,medqa,Normal
"stake:high
 original",67,60.2,-6.8,3.053,Large,1.76,0.0029,Yes,0.0037,Yes,qwen,medqa,Normal
"stake:low
 original",68.78,59.8,-8.98,3.859,Large,2.02,0.0001,Yes,0.0003,Yes,qwen,medqa,Normal
"unmodified
 original_combined",67.27,56.97,-10.3,4.265,Large,2.11,0,Yes,0.0001,Yes,qwen,medqa,Normal
"emotion:anger
 original",79.4,72,-7.4,4.662,Large,3.85,0,Yes,0,Yes,qwen,trivia,Normal
"emotion:happy
 original",78,77,-1,0.662,Large,1.19,0.5966,No,0.5966,No,qwen,trivia,Normal
"emotion:sad
 original",79.12,68.88,-10.24,5.468,Large,3.83,0,Yes,0,Yes,qwen,trivia,Normal
"relation:close
 original",79.12,75.9,-3.21,2.219,Large,1.89,0.0365,Yes,0.0469,Yes,qwen,trivia,Normal
"relation:hierarchical_down
 original",80.94,75.41,-5.53,4.217,Large,4.86,0,Yes,0.0001,Yes,qwen,trivia,Normal
"relation:hierarchical_up
 original",79.16,76.95,-2.2,1.64,Large,1.65,0.1352,No,0.1521,No,qwen,trivia,Normal
"stake:high
 original",79.28,74.04,-5.23,3.153,Large,2.24,0.0022,Yes,0.0039,Yes,qwen,trivia,Normal
"stake:low
 original",79.88,76.06,-3.82,2.61,Large,2.12,0.0127,Yes,0.019,Yes,qwen,trivia,Normal
"unmodified
 original_combined",79.88,75.2,-4.67,3.221,Large,2.64,0.0018,Yes,0.0039,Yes,qwen,trivia,Normal
"emotion:anger
 original",77.89,58.42,-19.47,7.787,Large,4.43,0,Yes,0,Yes,qwen,truthfulqa,Normal
"emotion:happy
 original",79.39,67.88,-11.52,5.51,Large,3.28,0,Yes,0,Yes,qwen,truthfulqa,Normal
"emotion:sad
 original",79.19,51.11,-28.08,10.332,Large,7.62,0,Yes,0,Yes,qwen,truthfulqa,Normal
"relation:close
 original",80.21,67.42,-12.78,5.613,Large,3.07,0,Yes,0,Yes,qwen,truthfulqa,Normal
"relation:hierarchical_down
 original",82.42,71.82,-10.59,4.903,Large,2.85,0,Yes,0,Yes,qwen,truthfulqa,Normal
"relation:hierarchical_up
 original",80.25,70.78,-9.47,4.468,Large,2.53,0,Yes,0,Yes,qwen,truthfulqa,Normal
"stake:high
 original",77.03,55.49,-21.54,8.328,Large,4.79,0,Yes,0,Yes,qwen,truthfulqa,Normal
"stake:low
 original",83.57,69.4,-14.17,6.609,Large,4.45,0,Yes,0,Yes,qwen,truthfulqa,Normal
"unmodified
 original_combined",82.91,71.31,-11.6,5.367,Large,3.2,0,Yes,0,Yes,qwen,truthfulqa,Normal
,,,,,,,,,,,,,
,,,,,,,,,,130,,,
