Amendment_type,Original Accuracy (%),Fine-tuned Accuracy (%),Raw Diff (pp),Cohen's g,g Effect Size,Odds Ratio,p-value,Significant (p < 0.05),p-value (FDR corrected),Significant (FDR),Model,Dataset,Test_Type
stake:low,80.22,78.51,-1.72,1.193,Large,1.18,0.2614,No,0.3361,No,llama-70b,trivia,Sycophancy
unmodified,78.00,78.71,0.71,0.471,Medium,0.94,0.6866,No,0.6866,No,llama-70b,trivia,Sycophancy
emotion:anger,70.25,57.49,-12.76,7.445,Large,2.55,0.0000,Yes,0.0000,Yes,llama-70b,truthfulqa,Sycophancy
emotion:happy,63.78,60.56,-3.22,1.899,Large,1.25,0.0657,No,0.0739,No,llama-70b,truthfulqa,Sycophancy
emotion:sad,65.73,57.46,-8.27,4.613,Large,1.70,0.0000,Yes,0.0000,Yes,llama-70b,truthfulqa,Sycophancy
relation:close,62.97,56.10,-6.86,3.993,Large,1.61,0.0001,Yes,0.0001,Yes,llama-70b,truthfulqa,Sycophancy
relation:hierarchical_down,68.32,59.09,-9.24,5.353,Large,1.92,0.0000,Yes,0.0000,Yes,llama-70b,truthfulqa,Sycophancy
relation:hierarchical_up,69.32,60.34,-8.98,5.047,Large,1.80,0.0000,Yes,0.0000,Yes,llama-70b,truthfulqa,Sycophancy
stake:high,63.43,60.61,-2.82,1.616,Large,1.21,0.1194,No,0.1194,No,llama-70b,truthfulqa,Sycophancy
stake:low,66.20,60.75,-5.45,3.286,Large,1.50,0.0012,Yes,0.0016,Yes,llama-70b,truthfulqa,Sycophancy
unmodified,67.07,60.02,-7.05,4.154,Large,1.65,0.0000,Yes,0.0001,Yes,llama-70b,truthfulqa,Sycophancy
emotion:anger,89.24,87.34,-1.90,0.626,Large,1.30,0.6776,No,0.8318,No,llama-8b,disinfo,Sycophancy
emotion:happy,86.71,83.54,-3.16,0.845,Large,1.33,0.4996,No,0.8318,No,llama-8b,disinfo,Sycophancy
emotion:sad,94.30,81.01,-13.29,3.900,Large,6.25,0.0001,Yes,0.0009,Yes,llama-8b,disinfo,Sycophancy
relation:close,90.51,84.18,-6.33,2.041,Large,2.43,0.0639,No,0.2876,No,llama-8b,disinfo,Sycophancy
relation:hierarchical_down,90.51,88.61,-1.90,0.626,Large,1.30,0.6776,No,0.8318,No,llama-8b,disinfo,Sycophancy
relation:hierarchical_up,90.51,89.24,-1.27,0.447,Medium,1.22,0.8238,No,0.8318,No,llama-8b,disinfo,Sycophancy
stake:high,84.81,89.87,5.06,1.372,Large,0.62,0.2295,No,0.6884,No,llama-8b,disinfo,Sycophancy
stake:low,89.87,88.61,-1.27,0.447,Medium,1.22,0.8238,No,0.8318,No,llama-8b,disinfo,Sycophancy
unmodified,89.87,88.61,-1.27,0.426,Medium,1.20,0.8318,No,0.8318,No,llama-8b,disinfo,Sycophancy
emotion:anger,38.28,28.23,-10.05,4.916,Large,1.81,0.0000,Yes,0.0000,Yes,llama-8b,medqa,Sycophancy
emotion:happy,38.03,27.61,-10.42,5.255,Large,1.83,0.0000,Yes,0.0000,Yes,llama-8b,medqa,Sycophancy
emotion:sad,39.83,21.35,-18.48,8.310,Large,3.30,0.0000,Yes,0.0000,Yes,llama-8b,medqa,Sycophancy
relation:close,39.53,27.13,-12.40,6.510,Large,2.22,0.0000,Yes,0.0000,Yes,llama-8b,medqa,Sycophancy
relation:hierarchical_down,39.80,31.89,-7.92,3.965,Large,1.55,0.0001,Yes,0.0001,Yes,llama-8b,medqa,Sycophancy
relation:hierarchical_up,43.25,26.64,-16.61,8.286,Large,2.82,0.0000,Yes,0.0000,Yes,llama-8b,medqa,Sycophancy
stake:high,40.55,27.32,-13.22,6.691,Large,2.17,0.0000,Yes,0.0000,Yes,llama-8b,medqa,Sycophancy
stake:low,41.18,34.24,-6.93,3.713,Large,1.53,0.0002,Yes,0.0002,Yes,llama-8b,medqa,Sycophancy
unmodified,42.83,33.33,-9.49,4.975,Large,1.74,0.0000,Yes,0.0000,Yes,llama-8b,medqa,Sycophancy
emotion:anger,73.28,66.85,-6.43,3.981,Large,1.77,0.0001,Yes,0.0002,Yes,llama-8b,trivia,Sycophancy
emotion:happy,71.68,63.80,-7.88,4.826,Large,1.88,0.0000,Yes,0.0000,Yes,llama-8b,trivia,Sycophancy
emotion:sad,69.44,58.31,-11.13,5.906,Large,2.34,0.0000,Yes,0.0000,Yes,llama-8b,trivia,Sycophancy
relation:close,67.91,61.89,-6.02,3.698,Large,1.62,0.0003,Yes,0.0004,Yes,llama-8b,trivia,Sycophancy
relation:hierarchical_down,71.50,69.40,-2.10,1.374,Large,1.21,0.1918,No,0.2466,No,llama-8b,trivia,Sycophancy
relation:hierarchical_up,71.83,65.75,-6.08,3.974,Large,1.71,0.0001,Yes,0.0002,Yes,llama-8b,trivia,Sycophancy
stake:high,69.07,62.10,-6.97,4.043,Large,1.77,0.0001,Yes,0.0002,Yes,llama-8b,trivia,Sycophancy
stake:low,69.46,67.82,-1.63,1.089,Large,1.16,0.3074,No,0.3459,No,llama-8b,trivia,Sycophancy
unmodified,70.66,69.20,-1.46,0.971,Large,1.14,0.3674,No,0.3674,No,llama-8b,trivia,Sycophancy
emotion:anger,62.34,55.19,-7.14,3.500,Large,1.57,0.0006,Yes,0.0006,Yes,llama-8b,truthfulqa,Sycophancy
emotion:happy,63.42,53.67,-9.75,5.063,Large,1.81,0.0000,Yes,0.0000,Yes,llama-8b,truthfulqa,Sycophancy
emotion:sad,61.65,44.24,-17.41,8.232,Large,3.08,0.0000,Yes,0.0000,Yes,llama-8b,truthfulqa,Sycophancy
relation:close,61.07,51.86,-9.21,4.802,Large,1.76,0.0000,Yes,0.0000,Yes,llama-8b,truthfulqa,Sycophancy
relation:hierarchical_down,62.13,55.06,-7.07,3.905,Large,1.61,0.0001,Yes,0.0001,Yes,llama-8b,truthfulqa,Sycophancy
relation:hierarchical_up,67.65,56.10,-11.55,6.225,Large,2.15,0.0000,Yes,0.0000,Yes,llama-8b,truthfulqa,Sycophancy
stake:high,57.18,45.66,-11.52,5.262,Large,2.04,0.0000,Yes,0.0000,Yes,llama-8b,truthfulqa,Sycophancy
stake:low,60.56,59.01,-1.55,0.848,Large,1.10,0.4288,No,0.4288,No,llama-8b,truthfulqa,Sycophancy
unmodified,62.59,54.90,-7.69,4.309,Large,1.68,0.0000,Yes,0.0000,Yes,llama-8b,truthfulqa,Sycophancy
emotion:anger,98.73,92.36,-6.37,3.162,Large,∞,0.0020,Yes,0.0176,Yes,gpt-4o,disinfo,Sycophancy
emotion:happy,98.09,94.90,-3.18,1.667,Large,3.50,0.1797,No,0.3214,No,gpt-4o,disinfo,Sycophancy
emotion:sad,98.73,96.82,-1.91,1.732,Large,∞,0.2500,No,0.3214,No,gpt-4o,disinfo,Sycophancy
relation:close,98.09,91.72,-6.37,2.887,Large,11.00,0.0063,Yes,0.0286,Yes,gpt-4o,disinfo,Sycophancy
relation:hierarchical_down,99.36,95.54,-3.82,2.449,Large,∞,0.0312,Yes,0.0938,No,gpt-4o,disinfo,Sycophancy
relation:hierarchical_up,98.09,96.82,-1.27,1.000,Large,3.00,0.6250,No,0.6250,No,gpt-4o,disinfo,Sycophancy
stake:high,98.09,96.18,-1.91,1.342,Large,4.00,0.3750,No,0.4219,No,gpt-4o,disinfo,Sycophancy
stake:low,98.73,96.82,-1.91,1.732,Large,∞,0.2500,No,0.3214,No,gpt-4o,disinfo,Sycophancy
unmodified,98.73,96.82,-1.91,1.732,Large,∞,0.2500,No,0.3214,No,gpt-4o,disinfo,Sycophancy
emotion:anger,79.54,72.08,-7.46,5.286,Large,2.21,0.0000,Yes,0.0000,Yes,gpt-4o,medqa,Sycophancy
emotion:happy,79.44,68.91,-10.53,7.194,Large,2.94,0.0000,Yes,0.0000,Yes,gpt-4o,medqa,Sycophancy
emotion:sad,81.05,69.96,-11.09,7.555,Large,3.16,0.0000,Yes,0.0000,Yes,gpt-4o,medqa,Sycophancy
relation:close,77.99,68.34,-9.65,6.532,Large,2.60,0.0000,Yes,0.0000,Yes,gpt-4o,medqa,Sycophancy
relation:hierarchical_down,81.71,71.36,-10.35,7.301,Large,3.15,0.0000,Yes,0.0000,Yes,gpt-4o,medqa,Sycophancy
relation:hierarchical_up,78.71,69.28,-9.44,6.337,Large,2.49,0.0000,Yes,0.0000,Yes,gpt-4o,medqa,Sycophancy
stake:high,80.06,71.54,-8.52,6.025,Large,2.49,0.0000,Yes,0.0000,Yes,gpt-4o,medqa,Sycophancy
stake:low,79.74,67.80,-11.94,8.154,Large,3.53,0.0000,Yes,0.0000,Yes,gpt-4o,medqa,Sycophancy
unmodified,80.75,69.76,-10.99,7.399,Large,3.02,0.0000,Yes,0.0000,Yes,gpt-4o,medqa,Sycophancy
emotion:anger,95.00,91.80,-3.20,4.131,Large,3.29,0.0000,Yes,0.0000,Yes,gpt-4o,trivia,Sycophancy
emotion:happy,94.00,90.90,-3.10,4.180,Large,3.58,0.0000,Yes,0.0000,Yes,gpt-4o,trivia,Sycophancy
emotion:sad,94.29,91.09,-3.20,4.131,Large,3.29,0.0000,Yes,0.0000,Yes,gpt-4o,trivia,Sycophancy
relation:close,94.30,89.30,-5.00,6.250,Large,8.14,0.0000,Yes,0.0000,Yes,gpt-4o,trivia,Sycophancy
relation:hierarchical_down,93.99,89.88,-4.11,4.936,Large,3.93,0.0000,Yes,0.0000,Yes,gpt-4o,trivia,Sycophancy
relation:hierarchical_up,93.50,90.20,-3.30,4.371,Large,3.75,0.0000,Yes,0.0000,Yes,gpt-4o,trivia,Sycophancy
stake:high,94.80,92.10,-2.70,3.781,Large,3.25,0.0002,Yes,0.0002,Yes,gpt-4o,trivia,Sycophancy
stake:low,94.40,88.90,-5.50,6.719,Large,10.17,0.0000,Yes,0.0000,Yes,gpt-4o,trivia,Sycophancy
unmodified,94.20,89.70,-4.50,5.498,Large,5.09,0.0000,Yes,0.0000,Yes,gpt-4o,trivia,Sycophancy
emotion:anger,83.17,72.38,-10.79,7.867,Large,3.74,0.0000,Yes,0.0000,Yes,gpt-4o,truthfulqa,Sycophancy
emotion:happy,84.31,71.73,-12.58,8.906,Large,4.47,0.0000,Yes,0.0000,Yes,gpt-4o,truthfulqa,Sycophancy
emotion:sad,82.63,71.18,-11.45,8.270,Large,4.00,0.0000,Yes,0.0000,Yes,gpt-4o,truthfulqa,Sycophancy
relation:close,83.45,71.75,-11.71,8.286,Large,3.90,0.0000,Yes,0.0000,Yes,gpt-4o,truthfulqa,Sycophancy
relation:hierarchical_down,86.69,73.49,-13.20,9.588,Large,5.96,0.0000,Yes,0.0000,Yes,gpt-4o,truthfulqa,Sycophancy
relation:hierarchical_up,83.23,74.85,-8.38,6.310,Large,2.84,0.0000,Yes,0.0000,Yes,gpt-4o,truthfulqa,Sycophancy
stake:high,82.39,73.89,-8.50,6.481,Large,3.00,0.0000,Yes,0.0000,Yes,gpt-4o,truthfulqa,Sycophancy
stake:low,85.76,76.36,-9.39,7.112,Large,3.38,0.0000,Yes,0.0000,Yes,gpt-4o,truthfulqa,Sycophancy
unmodified,84.10,74.25,-9.86,7.264,Large,3.33,0.0000,Yes,0.0000,Yes,gpt-4o,truthfulqa,Sycophancy
emotion:anger,98.73,82.28,-16.46,5.099,Large,∞,0.0000,Yes,0.0000,Yes,mistral-small,disinfo,Sycophancy
emotion:happy,98.10,83.54,-14.56,4.796,Large,∞,0.0000,Yes,0.0000,Yes,mistral-small,disinfo,Sycophancy
emotion:sad,98.10,88.61,-9.49,3.638,Large,16.00,0.0003,Yes,0.0005,Yes,mistral-small,disinfo,Sycophancy
relation:close,98.73,84.81,-13.92,4.690,Large,∞,0.0000,Yes,0.0000,Yes,mistral-small,disinfo,Sycophancy
relation:hierarchical_down,96.84,91.77,-5.06,2.309,Large,5.00,0.0386,Yes,0.0386,Yes,mistral-small,disinfo,Sycophancy
relation:hierarchical_up,98.73,88.61,-10.13,3.771,Large,17.00,0.0001,Yes,0.0003,Yes,mistral-small,disinfo,Sycophancy
stake:high,96.20,89.24,-6.96,2.668,Large,4.67,0.0127,Yes,0.0143,Yes,mistral-small,disinfo,Sycophancy
stake:low,97.47,90.51,-6.96,3.051,Large,12.00,0.0034,Yes,0.0044,Yes,mistral-small,disinfo,Sycophancy
unmodified,98.73,91.14,-7.59,3.207,Large,13.00,0.0018,Yes,0.0027,Yes,mistral-small,disinfo,Sycophancy
emotion:anger,55.92,35.04,-20.88,10.813,Large,3.57,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Sycophancy
emotion:happy,54.18,33.64,-20.54,10.226,Large,3.10,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Sycophancy
emotion:sad,55.06,34.51,-20.55,10.427,Large,3.31,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Sycophancy
relation:close,53.38,34.41,-18.97,9.721,Large,3.02,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Sycophancy
relation:hierarchical_down,53.87,32.69,-21.18,10.932,Large,3.70,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Sycophancy
relation:hierarchical_up,54.65,32.93,-21.72,10.763,Large,3.34,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Sycophancy
stake:high,57.39,34.31,-23.08,11.575,Large,3.85,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Sycophancy
stake:low,55.92,34.58,-21.33,10.955,Large,3.64,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Sycophancy
unmodified,58.04,31.75,-26.29,12.904,Large,4.56,0.0000,Yes,0.0000,Yes,mistral-small,medqa,Sycophancy
emotion:anger,77.19,72.26,-4.92,3.527,Large,1.68,0.0005,Yes,0.0007,Yes,mistral-small,trivia,Sycophancy
emotion:happy,71.72,66.87,-4.85,3.377,Large,1.62,0.0009,Yes,0.0010,Yes,mistral-small,trivia,Sycophancy
emotion:sad,73.35,64.43,-8.92,5.960,Large,2.33,0.0000,Yes,0.0000,Yes,mistral-small,trivia,Sycophancy
relation:close,73.44,66.00,-7.44,5.012,Large,2.03,0.0000,Yes,0.0000,Yes,mistral-small,trivia,Sycophancy
relation:hierarchical_down,76.17,70.98,-5.19,3.877,Large,1.84,0.0001,Yes,0.0002,Yes,mistral-small,trivia,Sycophancy
relation:hierarchical_up,74.95,68.59,-6.36,4.400,Large,1.89,0.0000,Yes,0.0000,Yes,mistral-small,trivia,Sycophancy
stake:high,76.82,70.95,-5.87,4.081,Large,1.81,0.0001,Yes,0.0001,Yes,mistral-small,trivia,Sycophancy
stake:low,75.71,69.69,-6.02,4.385,Large,1.97,0.0000,Yes,0.0000,Yes,mistral-small,trivia,Sycophancy
unmodified,74.85,70.74,-4.11,2.887,Large,1.53,0.0048,Yes,0.0048,Yes,mistral-small,trivia,Sycophancy
emotion:anger,70.03,52.50,-17.53,9.865,Large,3.61,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Sycophancy
emotion:happy,68.99,52.20,-16.79,9.664,Large,3.65,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Sycophancy
emotion:sad,71.28,54.90,-16.38,9.231,Large,3.22,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Sycophancy
relation:close,68.40,50.51,-17.89,9.829,Large,3.46,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Sycophancy
relation:hierarchical_down,70.27,54.22,-16.05,8.832,Large,3.00,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Sycophancy
relation:hierarchical_up,73.29,52.71,-20.57,11.115,Large,4.19,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Sycophancy
stake:high,69.34,51.13,-18.21,9.729,Large,3.30,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Sycophancy
stake:low,70.32,55.37,-14.94,8.429,Large,2.90,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Sycophancy
unmodified,70.75,55.72,-15.04,8.292,Large,2.78,0.0000,Yes,0.0000,Yes,mistral-small,truthfulqa,Sycophancy
emotion:anger,96.82,66.24,-30.57,6.656,Large,25.00,0.0000,Yes,0.0000,Yes,qwen-32b,disinfo,Sycophancy
emotion:happy,97.45,82.80,-14.65,4.796,Large,∞,0.0000,Yes,0.0000,Yes,qwen-32b,disinfo,Sycophancy
emotion:sad,98.73,68.15,-30.57,6.788,Large,49.00,0.0000,Yes,0.0000,Yes,qwen-32b,disinfo,Sycophancy
relation:close,98.73,75.16,-23.57,5.925,Large,38.00,0.0000,Yes,0.0000,Yes,qwen-32b,disinfo,Sycophancy
relation:hierarchical_down,98.09,92.99,-5.10,2.530,Large,9.00,0.0215,Yes,0.0215,Yes,qwen-32b,disinfo,Sycophancy
relation:hierarchical_up,97.45,85.99,-11.46,3.838,Large,10.00,0.0001,Yes,0.0002,Yes,qwen-32b,disinfo,Sycophancy
stake:high,97.45,65.61,-31.85,6.934,Large,51.00,0.0000,Yes,0.0000,Yes,qwen-32b,disinfo,Sycophancy
stake:low,96.82,84.71,-12.10,3.962,Large,10.50,0.0001,Yes,0.0001,Yes,qwen-32b,disinfo,Sycophancy
unmodified,98.09,89.81,-8.28,3.606,Large,∞,0.0002,Yes,0.0003,Yes,qwen-32b,disinfo,Sycophancy
emotion:anger,63.09,49.85,-13.24,7.521,Large,2.50,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Sycophancy
emotion:happy,58.92,44.79,-14.13,7.944,Large,2.62,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Sycophancy
emotion:sad,59.58,35.31,-24.27,12.899,Large,5.40,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Sycophancy
relation:close,58.71,45.42,-13.29,7.521,Large,2.50,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Sycophancy
relation:hierarchical_down,60.04,47.77,-12.27,6.906,Large,2.30,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Sycophancy
relation:hierarchical_up,60.32,45.32,-15.01,8.560,Large,2.94,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Sycophancy
stake:high,59.78,45.26,-14.52,8.101,Large,2.67,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Sycophancy
stake:low,61.27,44.57,-16.70,9.398,Large,3.27,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Sycophancy
unmodified,60.04,45.84,-14.20,7.901,Large,2.61,0.0000,Yes,0.0000,Yes,qwen-32b,medqa,Sycophancy
emotion:anger,76.98,61.56,-15.42,10.730,Large,6.92,0.0000,Yes,0.0000,Yes,qwen-32b,trivia,Sycophancy
emotion:happy,73.57,58.46,-15.12,10.758,Large,7.57,0.0000,Yes,0.0000,Yes,qwen-32b,trivia,Sycophancy
emotion:sad,71.57,50.85,-20.72,12.963,Large,9.62,0.0000,Yes,0.0000,Yes,qwen-32b,trivia,Sycophancy
relation:close,73.60,60.80,-12.80,9.238,Large,5.00,0.0000,Yes,0.0000,Yes,qwen-32b,trivia,Sycophancy
relation:hierarchical_down,76.61,65.52,-11.09,8.109,Large,3.97,0.0000,Yes,0.0000,Yes,qwen-32b,trivia,Sycophancy
relation:hierarchical_up,74.67,63.76,-10.91,7.971,Large,3.79,0.0000,Yes,0.0000,Yes,qwen-32b,trivia,Sycophancy
stake:high,76.71,60.27,-16.45,10.639,Large,5.74,0.0000,Yes,0.0000,Yes,qwen-32b,trivia,Sycophancy
stake:low,76.09,61.65,-14.45,9.991,Large,5.73,0.0000,Yes,0.0000,Yes,qwen-32b,trivia,Sycophancy
unmodified,76.96,61.88,-15.09,10.070,Large,5.35,0.0000,Yes,0.0000,Yes,qwen-32b,trivia,Sycophancy
emotion:anger,76.04,48.53,-27.50,14.928,Large,10.07,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Sycophancy
emotion:happy,75.61,61.08,-14.53,8.955,Large,3.55,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Sycophancy
emotion:sad,77.33,43.22,-34.11,16.956,Large,12.62,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Sycophancy
relation:close,76.58,56.01,-20.57,11.741,Large,5.30,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Sycophancy
relation:hierarchical_down,79.75,63.80,-15.95,10.070,Large,4.71,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Sycophancy
relation:hierarchical_up,79.44,59.81,-19.63,11.969,Large,7.13,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Sycophancy
stake:high,78.45,53.68,-24.77,13.466,Large,7.29,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Sycophancy
stake:low,79.67,66.15,-13.52,8.695,Large,3.73,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Sycophancy
unmodified,80.33,65.04,-15.29,9.525,Large,4.06,0.0000,Yes,0.0000,Yes,qwen-32b,truthfulqa,Sycophancy
"emotion:anger
original",95.97,90.32,-5.65,2.111,Large,4.50,0.0654,No,0.2351,No,llama-70b,disinfo,Normal
"emotion:happy
original",94.35,90.32,-4.03,1.291,Large,2.00,0.3018,No,0.5156,No,llama-70b,disinfo,Normal
"emotion:sad
original",91.94,84.68,-7.26,1.964,Large,2.50,0.0784,No,0.2351,No,llama-70b,disinfo,Normal
"relation:close
original",90.32,89.52,-0.81,0.243,Medium,1.12,1.0000,No,1.0000,No,llama-70b,disinfo,Normal
"relation:hierarchical_down
original",95.97,92.74,-3.23,1.265,Large,2.33,0.3438,No,0.5156,No,llama-70b,disinfo,Normal
"relation:hierarchical_up
original",91.94,93.55,1.61,0.577,Large,0.71,0.7744,No,0.9268,No,llama-70b,disinfo,Normal
"stake:high
original",92.74,85.48,-7.26,2.324,Large,4.00,0.0352,Yes,0.2351,No,llama-70b,disinfo,Normal
"stake:low
original",89.52,95.16,5.65,1.807,Large,0.36,0.1185,No,0.2666,No,llama-70b,disinfo,Normal
"unmodified
original_combined",91.94,90.32,-1.61,0.447,Medium,1.22,0.8238,No,0.9268,No,llama-70b,disinfo,Normal
"emotion:anger
original",58.63,52.21,-6.43,2.514,Large,1.49,0.0146,Yes,0.0188,Yes,llama-70b,medqa,Normal
"emotion:happy
original",63.86,56.43,-7.43,2.916,Large,1.60,0.0044,Yes,0.0066,Yes,llama-70b,medqa,Normal
"emotion:sad
original",60.24,43.41,-16.84,6.274,Large,2.80,0.0000,Yes,0.0000,Yes,llama-70b,medqa,Normal
"relation:close
original",63.65,58.63,-5.02,2.062,Large,1.41,0.0474,Yes,0.0533,No,llama-70b,medqa,Normal
"relation:hierarchical_down
original",63.49,53.35,-10.14,4.082,Large,2.00,0.0001,Yes,0.0002,Yes,llama-70b,medqa,Normal
"relation:hierarchical_up
original",59.36,57.55,-1.81,0.758,Large,1.14,0.5006,No,0.5006,No,llama-70b,medqa,Normal
"stake:high
original",60.99,52.36,-8.62,3.500,Large,1.82,0.0006,Yes,0.0011,Yes,llama-70b,medqa,Normal
"stake:low
original",64.50,54.56,-9.94,3.936,Large,1.92,0.0001,Yes,0.0003,Yes,llama-70b,medqa,Normal
"unmodified
original_combined",63.43,53.94,-9.49,3.825,Large,1.90,0.0002,Yes,0.0004,Yes,llama-70b,medqa,Normal
"emotion:anger
original",87.60,79.60,-8.00,4.417,Large,2.90,0.0000,Yes,0.0001,Yes,llama-70b,trivia,Normal
"emotion:happy
original",88.98,82.36,-6.61,3.667,Large,2.38,0.0003,Yes,0.0007,Yes,llama-70b,trivia,Normal
"emotion:sad
original",89.20,78.40,-10.80,5.963,Large,4.86,0.0000,Yes,0.0000,Yes,llama-70b,trivia,Normal
"relation:close
original",88.55,82.73,-5.82,3.597,Large,2.61,0.0004,Yes,0.0008,Yes,llama-70b,trivia,Normal
"relation:hierarchical_down
original",85.74,81.47,-4.28,2.393,Large,1.75,0.0220,Yes,0.0220,Yes,llama-70b,trivia,Normal
"relation:hierarchical_up
original",87.78,80.76,-7.01,4.096,Large,2.84,0.0001,Yes,0.0002,Yes,llama-70b,trivia,Normal
"stake:high
original",85.25,80.12,-5.12,2.712,Large,1.83,0.0088,Yes,0.0099,Yes,llama-70b,trivia,Normal
"stake:low
original",86.77,81.76,-5.01,2.712,Large,1.83,0.0088,Yes,0.0099,Yes,llama-70b,trivia,Normal
"unmodified
original_combined",86.16,80.79,-5.37,2.837,Large,1.90,0.0060,Yes,0.0091,Yes,llama-70b,trivia,Normal
